========
TRAINING
========

Max epochs   500000. Desired error: 0.0109999999.
Epochs          351. Current error: 0.1175520271. Bit fail 584.
Epochs          352. Current error: 0.1174730361. Bit fail 582.
Epochs          353. Current error: 0.1173936054. Bit fail 583.
Epochs          354. Current error: 0.1173142493. Bit fail 582.
Epochs          355. Current error: 0.1172349453. Bit fail 582.
Epochs          356. Current error: 0.1171553880. Bit fail 581.
Epochs          357. Current error: 0.1170759946. Bit fail 580.
Epochs          358. Current error: 0.1169963256. Bit fail 580.
Epochs          359. Current error: 0.1169167385. Bit fail 580.
Epochs          360. Current error: 0.1168369129. Bit fail 580.
Epochs          361. Current error: 0.1167574003. Bit fail 579.
Epochs          362. Current error: 0.1166772470. Bit fail 579.
Epochs          363. Current error: 0.1165976897. Bit fail 579.
Epochs          364. Current error: 0.1165177450. Bit fail 578.
Epochs          365. Current error: 0.1164377108. Bit fail 577.
Epochs          366. Current error: 0.1163577139. Bit fail 579.
Epochs          367. Current error: 0.1162778065. Bit fail 579.
Epochs          368. Current error: 0.1161976755. Bit fail 578.
Epochs          369. Current error: 0.1161177456. Bit fail 577.
Epochs          370. Current error: 0.1160371900. Bit fail 577.
Epochs          371. Current error: 0.1159571856. Bit fail 577.
Epochs          372. Current error: 0.1158767343. Bit fail 577.
Epochs          373. Current error: 0.1157962754. Bit fail 577.
Epochs          374. Current error: 0.1157159284. Bit fail 577.
Epochs          375. Current error: 0.1156354472. Bit fail 578.
Epochs          376. Current error: 0.1155550331. Bit fail 578.
Epochs          377. Current error: 0.1154743433. Bit fail 578.
Epochs          378. Current error: 0.1153937057. Bit fail 576.
Epochs          379. Current error: 0.1153130606. Bit fail 576.
Epochs          380. Current error: 0.1152322739. Bit fail 577.
Epochs          381. Current error: 0.1151514426. Bit fail 576.
Epochs          382. Current error: 0.1150711626. Bit fail 576.
Epochs          383. Current error: 0.1149902493. Bit fail 575.
Epochs          384. Current error: 0.1149093732. Bit fail 576.
Epochs          385. Current error: 0.1148284972. Bit fail 576.
Epochs          386. Current error: 0.1147479564. Bit fail 574.
Epochs          387. Current error: 0.1146667674. Bit fail 573.
Epochs          388. Current error: 0.1145864576. Bit fail 574.
Epochs          389. Current error: 0.1145055294. Bit fail 574.
Epochs          390. Current error: 0.1144246086. Bit fail 574.
Epochs          391. Current error: 0.1143438742. Bit fail 573.
Epochs          392. Current error: 0.1142630726. Bit fail 571.
Epochs          393. Current error: 0.1141822413. Bit fail 569.
Epochs          394. Current error: 0.1141018346. Bit fail 571.
Epochs          395. Current error: 0.1140209809. Bit fail 570.
Epochs          396. Current error: 0.1139403060. Bit fail 570.
Epochs          397. Current error: 0.1138599068. Bit fail 569.
Epochs          398. Current error: 0.1137788817. Bit fail 569.
Epochs          399. Current error: 0.1136988476. Bit fail 569.
Epochs          400. Current error: 0.1136180535. Bit fail 569.
Epochs          401. Current error: 0.1135380119. Bit fail 572.
Epochs          402. Current error: 0.1134576276. Bit fail 571.
Epochs          403. Current error: 0.1133772880. Bit fail 570.
Epochs          404. Current error: 0.1132973731. Bit fail 570.
Epochs          405. Current error: 0.1132172570. Bit fail 570.
Epochs          406. Current error: 0.1131370515. Bit fail 570.
Epochs          407. Current error: 0.1130574420. Bit fail 568.
Epochs          408. Current error: 0.1129778177. Bit fail 568.
Epochs          409. Current error: 0.1128980666. Bit fail 567.
Epochs          410. Current error: 0.1128185615. Bit fail 567.
Epochs          411. Current error: 0.1127390862. Bit fail 567.
Epochs          412. Current error: 0.1126594767. Bit fail 567.
Epochs          413. Current error: 0.1125803217. Bit fail 566.
Epochs          414. Current error: 0.1125012040. Bit fail 566.
Epochs          415. Current error: 0.1124220416. Bit fail 567.
Epochs          416. Current error: 0.1123433411. Bit fail 566.
Epochs          417. Current error: 0.1122645512. Bit fail 566.
Epochs          418. Current error: 0.1121856049. Bit fail 564.
Epochs          419. Current error: 0.1121071130. Bit fail 563.
Epochs          420. Current error: 0.1120288223. Bit fail 563.
Epochs          421. Current error: 0.1119502485. Bit fail 562.
Epochs          422. Current error: 0.1118719876. Bit fail 562.
Epochs          423. Current error: 0.1117942259. Bit fail 562.
Epochs          424. Current error: 0.1117162481. Bit fail 562.
Epochs          425. Current error: 0.1116381362. Bit fail 562.
Epochs          426. Current error: 0.1115604341. Bit fail 562.
Epochs          427. Current error: 0.1114830449. Bit fail 562.
Epochs          428. Current error: 0.1114051268. Bit fail 562.
Epochs          429. Current error: 0.1113275588. Bit fail 562.
Epochs          430. Current error: 0.1112506092. Bit fail 562.
Epochs          431. Current error: 0.1111731157. Bit fail 561.
Epochs          432. Current error: 0.1110959575. Bit fail 560.
Epochs          433. Current error: 0.1110191345. Bit fail 559.
Epochs          434. Current error: 0.1109423414. Bit fail 557.
Epochs          435. Current error: 0.1108655408. Bit fail 557.
Epochs          436. Current error: 0.1107885763. Bit fail 557.
Epochs          437. Current error: 0.1107122228. Bit fail 555.
Epochs          438. Current error: 0.1106356010. Bit fail 553.
Epochs          439. Current error: 0.1105589345. Bit fail 554.
Epochs          440. Current error: 0.1104822531. Bit fail 553.
Epochs          441. Current error: 0.1104062051. Bit fail 553.
Epochs          442. Current error: 0.1103297770. Bit fail 553.
Epochs          443. Current error: 0.1102537736. Bit fail 553.
Epochs          444. Current error: 0.1101774424. Bit fail 551.
Epochs          445. Current error: 0.1101012900. Bit fail 552.
Epochs          446. Current error: 0.1100254431. Bit fail 551.
Epochs          447. Current error: 0.1099490896. Bit fail 550.
Epochs          448. Current error: 0.1098731980. Bit fail 545.
Epochs          449. Current error: 0.1097973734. Bit fail 545.
Epochs          450. Current error: 0.1097213700. Bit fail 545.
Epochs          451. Current error: 0.1096458286. Bit fail 544.
Epochs          452. Current error: 0.1095700115. Bit fail 545.
Epochs          453. Current error: 0.1094941199. Bit fail 544.
Epochs          454. Current error: 0.1094181463. Bit fail 545.
Epochs          455. Current error: 0.1093424112. Bit fail 544.
Epochs          456. Current error: 0.1092667580. Bit fail 545.
Epochs          457. Current error: 0.1091909930. Bit fail 543.
Epochs          458. Current error: 0.1091153771. Bit fail 543.
Epochs          459. Current error: 0.1090398058. Bit fail 543.
Epochs          460. Current error: 0.1089639813. Bit fail 543.
Epochs          461. Current error: 0.1088881716. Bit fail 544.
Epochs          462. Current error: 0.1088126749. Bit fail 544.
Epochs          463. Current error: 0.1087365076. Bit fail 544.
Epochs          464. Current error: 0.1086608991. Bit fail 544.
Epochs          465. Current error: 0.1085850298. Bit fail 542.
Epochs          466. Current error: 0.1085092574. Bit fail 542.
Epochs          467. Current error: 0.1084332541. Bit fail 541.
Epochs          468. Current error: 0.1083574146. Bit fail 542.
Epochs          469. Current error: 0.1082813367. Bit fail 542.
Epochs          470. Current error: 0.1082052439. Bit fail 541.
Epochs          471. Current error: 0.1081290320. Bit fail 540.
Epochs          472. Current error: 0.1080530435. Bit fail 540.
Epochs          473. Current error: 0.1079767197. Bit fail 538.
Epochs          474. Current error: 0.1079009175. Bit fail 538.
Epochs          475. Current error: 0.1078242138. Bit fail 537.
Epochs          476. Current error: 0.1077477038. Bit fail 537.
Epochs          477. Current error: 0.1076712161. Bit fail 537.
Epochs          478. Current error: 0.1075949445. Bit fail 537.
Epochs          479. Current error: 0.1075182706. Bit fail 536.
Epochs          480. Current error: 0.1074415818. Bit fail 535.
Epochs          481. Current error: 0.1073646694. Bit fail 534.
Epochs          482. Current error: 0.1072877720. Bit fail 534.
Epochs          483. Current error: 0.1072105989. Bit fail 534.
Epochs          484. Current error: 0.1071333960. Bit fail 532.
Epochs          485. Current error: 0.1070562303. Bit fail 532.
Epochs          486. Current error: 0.1069789678. Bit fail 531.
Epochs          487. Current error: 0.1069016159. Bit fail 530.
Epochs          488. Current error: 0.1068240479. Bit fail 530.
Epochs          489. Current error: 0.1067461446. Bit fail 529.
Epochs          490. Current error: 0.1066684052. Bit fail 529.
Epochs          491. Current error: 0.1065905839. Bit fail 528.
Epochs          492. Current error: 0.1065125018. Bit fail 527.
Epochs          493. Current error: 0.1064342111. Bit fail 525.
Epochs          494. Current error: 0.1063560545. Bit fail 525.
Epochs          495. Current error: 0.1062772647. Bit fail 524.
